date_time,precipMM,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex,year,month,day,is_rainy
2009-04-15,0.0,36.0,22.0,46.708333333333336,1006.7083333333334,28.416666666666668,10.0,5.541666666666667,250.95833333333334,16.5,7.375,29.375,0.0,11.6,7.0,2009,4,15,False
2009-04-16,0.0,38.0,23.0,43.625,1005.5,28.833333333333332,10.0,4.75,218.45833333333334,10.375,6.375,30.041666666666668,0.0,11.6,7.0,2009,4,16,False
2009-04-17,2.2,38.0,23.0,49.166666666666664,1005.7083333333334,28.416666666666668,10.0,5.583333333333333,214.79166666666666,20.083333333333332,7.375,29.208333333333332,0.0,11.6,7.0,2009,4,17,True
2009-04-18,0.0,39.0,23.0,44.916666666666664,1007.5833333333334,30.375,10.0,6.333333333333333,195.25,11.291666666666666,8.375,31.375,0.0,11.6,8.0,2009,4,18,False
2009-04-19,0.8,38.0,23.0,48.458333333333336,1009.5833333333334,29.833333333333332,9.958333333333334,5.708333333333333,183.75,20.875,7.708333333333333,30.625,0.0,11.6,7.0,2009,4,19,True
2009-04-20,1.2,34.0,23.0,68.29166666666667,1009.2083333333334,26.416666666666668,9.791666666666666,6.875,287.0,29.791666666666668,9.208333333333334,27.041666666666668,0.0,11.6,6.0,2009,4,20,True
2009-04-21,3.0,33.0,21.0,62.166666666666664,1007.75,26.625,9.625,7.25,222.66666666666666,20.833333333333332,10.083333333333334,27.25,0.0,11.6,7.0,2009,4,21,True
2009-04-22,0.0,28.0,22.0,67.75,1009.0833333333334,25.375,10.0,7.75,272.1666666666667,14.875,10.5,26.041666666666668,0.0,11.6,7.0,2009,4,22,False
2009-04-23,0.0,34.0,21.0,53.708333333333336,1009.2916666666666,27.708333333333332,10.0,6.166666666666667,182.41666666666666,8.333333333333334,8.875,28.708333333333332,0.0,11.6,7.0,2009,4,23,False
2009-04-24,0.2,36.0,23.0,50.625,1009.1666666666666,28.291666666666668,9.875,6.0,233.20833333333334,12.125,7.958333333333333,29.166666666666668,0.0,11.6,7.0,2009,4,24,True
2009-04-25,3.4,30.0,23.0,62.958333333333336,1010.5,25.958333333333332,9.583333333333334,6.541666666666667,199.16666666666666,29.916666666666668,9.125,26.5,0.0,11.6,7.0,2009,4,25,True
2009-04-26,0.5,35.0,22.0,55.541666666666664,1009.9166666666666,27.125,9.916666666666666,5.333333333333333,142.70833333333334,33.208333333333336,8.541666666666666,27.791666666666668,0.0,11.6,6.0,2009,4,26,True
2009-04-27,0.2,38.0,21.0,44.458333333333336,1009.625,29.166666666666668,10.0,4.708333333333333,133.58333333333334,9.125,6.666666666666667,30.541666666666668,0.0,11.6,7.0,2009,4,27,True
2009-04-28,0.0,34.0,23.0,45.416666666666664,1009.4583333333334,28.458333333333332,10.0,5.875,177.45833333333334,15.916666666666666,8.75,29.416666666666668,0.0,12.300000000000002,7.0,2009,4,28,False
2009-04-29,0.0,40.0,21.0,37.416666666666664,1009.875,30.125,10.0,4.458333333333333,221.70833333333334,3.9166666666666665,6.125,32.166666666666664,0.0,12.300000000000002,8.0,2009,4,29,False
2009-04-30,0.1,40.0,22.0,42.916666666666664,1009.4166666666666,30.583333333333332,9.958333333333334,5.416666666666667,204.70833333333334,6.875,7.083333333333333,32.0,0.0,12.800000000000002,8.0,2009,4,30,True
2009-05-01,0.30000000000000004,38.0,23.0,48.625,1009.625,29.666666666666668,9.916666666666666,7.166666666666667,265.0416666666667,13.625,9.375,30.333333333333332,0.0,12.800000000000002,6.0,2009,5,1,True
2009-05-02,0.0,40.0,23.0,41.833333333333336,1009.75,30.5,10.0,5.125,302.125,7.166666666666667,7.125,31.791666666666668,0.0,12.800000000000002,8.0,2009,5,2,False
2009-05-03,0.0,35.0,24.0,43.916666666666664,1009.2083333333334,29.833333333333332,10.0,6.333333333333333,266.7083333333333,10.458333333333334,8.083333333333334,30.75,0.0,12.800000000000002,7.0,2009,5,3,False
2009-05-04,5.9,33.0,23.0,64.125,1008.5416666666666,26.666666666666668,9.166666666666666,8.583333333333334,232.29166666666666,34.625,12.166666666666666,27.333333333333332,0.0,12.800000000000002,7.0,2009,5,4,True
2009-05-05,0.6000000000000001,35.0,22.0,58.791666666666664,1009.0416666666666,27.75,9.416666666666666,8.791666666666666,253.58333333333334,30.083333333333332,12.375,28.166666666666668,0.0,12.800000000000002,6.0,2009,5,5,True
2009-05-06,0.2,33.0,22.0,56.916666666666664,1009.75,27.0,9.875,6.958333333333333,285.2916666666667,22.5,9.625,27.708333333333332,0.0,12.800000000000002,7.0,2009,5,6,True
2009-05-07,0.4,39.0,22.0,48.208333333333336,1007.625,29.5,9.958333333333334,4.833333333333333,260.0,14.458333333333334,7.041666666666667,30.458333333333332,0.0,12.800000000000002,7.0,2009,5,7,True
2009-05-08,0.8,34.0,24.0,47.458333333333336,1007.2916666666666,28.958333333333332,9.916666666666666,7.0,175.54166666666666,15.458333333333334,9.583333333333334,29.666666666666668,0.0,12.800000000000002,6.0,2009,5,8,True
2009-05-09,0.7,34.0,24.0,62.416666666666664,1007.2083333333334,27.125,9.375,7.958333333333333,263.5416666666667,26.791666666666668,10.583333333333334,27.458333333333332,0.0,12.800000000000002,7.0,2009,5,9,True
2009-05-10,0.2,34.0,23.0,58.25,1006.7916666666666,27.25,10.0,11.041666666666666,248.58333333333334,11.0,15.208333333333334,27.791666666666668,0.0,12.800000000000002,7.0,2009,5,10,True
2009-05-11,0.0,34.0,22.0,49.166666666666664,1006.5,28.083333333333332,10.0,9.833333333333334,267.4166666666667,4.416666666666667,13.541666666666666,29.0,0.0,12.800000000000002,7.0,2009,5,11,False
2009-05-12,0.0,36.0,22.0,49.416666666666664,1006.25,28.333333333333332,10.0,9.125,274.5,4.375,12.291666666666666,29.375,0.0,12.800000000000002,7.0,2009,5,12,False
